期号,日期,开奖号码
23275,2023-10-16,"['9', '8', '4']"
23274,2023-10-15,"['6', '6', '9']"
23273,2023-10-14,"['1', '2', '1']"
23272,2023-10-13,"['4', '1', '9']"
23271,2023-10-12,"['0', '9', '6']"
23270,2023-10-11,"['3', '5', '5']"
23269,2023-10-10,"['2', '3', '4']"
23268,2023-10-09,"['9', '7', '5']"
23267,2023-10-08,"['5', '5', '4']"
23266,2023-10-07,"['1', '3', '3']"
23265,2023-10-06,"['2', '2', '4']"
23264,2023-10-05,"['9', '2', '5']"
23263,2023-09-30,"['9', '9', '3']"
23262,2023-09-29,"['7', '1', '7']"
23261,2023-09-28,"['9', '3', '0']"
23260,2023-09-27,"['2', '4', '7']"
23259,2023-09-26,"['0', '8', '8']"
23258,2023-09-25,"['9', '1', '5']"
23257,2023-09-24,"['9', '0', '8']"
23256,2023-09-23,"['8', '4', '0']"
23255,2023-09-22,"['0', '5', '6']"
23254,2023-09-21,"['9', '9', '1']"
23253,2023-09-20,"['9', '8', '6']"
23252,2023-09-19,"['9', '6', '1']"
23251,2023-09-18,"['7', '3', '6']"
23250,2023-09-17,"['1', '8', '0']"
23249,2023-09-16,"['0', '3', '9']"
23248,2023-09-15,"['6', '9', '6']"
23247,2023-09-14,"['9', '3', '7']"
23246,2023-09-13,"['4', '2', '2']"
23245,2023-09-12,"['4', '8', '0']"
23244,2023-09-11,"['3', '1', '5']"
23243,2023-09-10,"['9', '6', '6']"
23242,2023-09-09,"['9', '8', '7']"
23241,2023-09-08,"['9', '3', '5']"
23240,2023-09-07,"['7', '0', '2']"
23239,2023-09-06,"['4', '4', '0']"
23238,2023-09-05,"['5', '6', '2']"
23237,2023-09-04,"['7', '9', '8']"
23236,2023-09-03,"['2', '7', '0']"
23235,2023-09-02,"['4', '2', '4']"
23234,2023-09-01,"['8', '0', '5']"
23233,2023-08-31,"['1', '2', '4']"
23232,2023-08-30,"['8', '6', '0']"
23231,2023-08-29,"['3', '6', '5']"
23230,2023-08-28,"['9', '4', '9']"
23229,2023-08-27,"['6', '7', '8']"
23228,2023-08-26,"['7', '7', '3']"
23227,2023-08-25,"['9', '0', '1']"
23226,2023-08-24,"['5', '3', '5']"
23225,2023-08-23,"['1', '1', '8']"
23224,2023-08-22,"['3', '7', '4']"
23223,2023-08-21,"['7', '4', '0']"
23222,2023-08-20,"['9', '7', '7']"
23221,2023-08-19,"['6', '4', '9']"
23220,2023-08-18,"['0', '3', '5']"
23219,2023-08-17,"['7', '3', '8']"
23218,2023-08-16,"['9', '4', '2']"
23217,2023-08-15,"['7', '4', '8']"
23216,2023-08-14,"['1', '3', '8']"
23215,2023-08-13,"['4', '8', '0']"
23214,2023-08-12,"['1', '0', '1']"
23213,2023-08-11,"['0', '7', '7']"
23212,2023-08-10,"['8', '5', '3']"
23211,2023-08-09,"['7', '9', '2']"
23210,2023-08-08,"['9', '3', '6']"
23209,2023-08-07,"['2', '1', '7']"
23208,2023-08-06,"['6', '6', '9']"
23207,2023-08-05,"['1', '2', '6']"
23206,2023-08-04,"['4', '4', '8']"
23205,2023-08-03,"['0', '9', '7']"
